key,context,en-US,fr-FR,ar-MA
meta.home.title,app/page.tsx,ANAQIO — AI Fashion Studio | Coming Soon,ANAQIO — Studio d'IA pour la Mode | À Venir,ANAQIO — استوديو الذكاء الاصطناعي للموضة | قريباً
meta.home.description,app/page.tsx,"ANAQIO is an AI-powered fashion studio for the Moroccan luxury market. Generate lookbooks, swap backgrounds, adjust lighting, and produce cinematic fashion videos. Launching 2026.","ANAQIO est un studio de mode alimenté par l'IA pour le marché du luxe marocain. Générez des lookbooks, modifiez les arrière-plans, ajustez l'éclairage et produisez des vidéos de mode cinématographiques. Lancement 2026.","ANAQIO هو استوديو موضة مدعوم بالذكاء الاصطناعي للسوق الفاخرة المغربية. أنشئ دفاتر العرض، بدّل الخلفيات، اضبط الإضاءة، وأنتج فيديوهات موضة سينمائية. الإطلاق 2026."
header.nav.about,components/layout/Header.tsx,About,À Propos,حول
header.nav.brand,components/layout/Header.tsx,Brand,Identité Visuelle,الهوية البصرية
header.nav.contact,components/layout/Header.tsx,Contact,Nous Contacter,اتصل بنا
header.nav.legal,components/layout/Header.tsx,Legal,Légal,قانوني
header.nav.terms,components/layout/Header.tsx,Terms of Service,Conditions d'Utilisation,شروط الخدمة
header.nav.privacy,components/layout/Header.tsx,Privacy Policy,Politique de Confidentialité,سياسة الخصوصية
header.nav.cookies,components/layout/Header.tsx,Cookie Policy,Politique des Cookies,سياسة ملفات تعريف الارتباط
header.nav.legal-mentions,components/layout/Header.tsx,Legal Mentions,Mentions Légales,الإشعارات القانونية
header.button.waitlist,components/layout/Header.tsx,Join Waitlist,Rejoindre la Liste d'Attente,انضم إلى قائمة الانتظار
header.logo.aria,components/layout/Header.tsx,Anaqio Home,Accueil Anaqio,الصفحة الرئيسية لـ Anaqio
header.menu.aria,components/layout/Header.tsx,Toggle menu,Basculer le menu,تبديل القائمة
footer.section.platform,lib/content/navigation.ts,Platform,Plateforme,المنصة
footer.platform.studio,lib/content/navigation.ts,AI Studio,Studio d'IA,استوديو الذكاء الاصطناعي
footer.platform.lookbook,lib/content/navigation.ts,Lookbook Generator,Générateur de Lookbook,مولّد الكتالوجات
footer.platform.tryon,lib/content/navigation.ts,Virtual Try-On,Essayage Virtuel,التجربة الافتراضية
footer.platform.pricing,lib/content/navigation.ts,Pricing,Tarification,التسعير
footer.section.resources,lib/content/navigation.ts,Resources,Ressources,الموارد
footer.resources.brand,lib/content/navigation.ts,Brand,Identité Visuelle,الهوية البصرية
footer.resources.blog,lib/content/navigation.ts,Blog,Blog,المدونة
footer.resources.help,lib/content/navigation.ts,Help Center,Centre d'Aide,مركز المساعدة
footer.section.company,lib/content/navigation.ts,Company,Entreprise,الشركة
footer.company.about,lib/content/navigation.ts,About,À Propos,حول
footer.company.early,lib/content/navigation.ts,Early Access,Accès Anticipé,الوصول المبكر
footer.company.badge,lib/content/navigation.ts,JOIN,REJOINDRE,انضم
footer.company.privacy,lib/content/navigation.ts,Privacy Policy,Politique de Confidentialité,سياسة الخصوصية
footer.company.terms,lib/content/navigation.ts,Terms of Service,Conditions d'Utilisation,شروط الخدمة
footer.company.legal,lib/content/navigation.ts,Legal Mentions,Mentions Légales,الإشعارات القانونية
footer.company.cookies,lib/content/navigation.ts,Cookies,Cookies,ملفات تعريف الارتباط
footer.desc,lib/content/navigation.ts,"Your Digital Atelier. Create stunning lookbooks, swap backgrounds, and generate editorial visuals — powered by AI, designed for Moroccan fashion brands.","Votre Atelier Numérique. Créez des lookbooks époustouflants, modifiez les arrière-plans et générez des visuels éditoriaux — alimentés par l'IA, conçus pour les marques de mode marocaines.","أتيليه رقمي. أنشئ دفاتر عرض مذهلة، غيّر الخلفيات، وأنتج صوراً افتراضية — مدعوم بالذكاء الاصطناعي، مصمم لعلامات الموضة المغربية."
footer.copyright,lib/content/navigation.ts,© 2026 Anaqio,© 2026 Anaqio,© 2026 Anaqio
footer.rights,lib/content/navigation.ts,All rights reserved.,Tous droits réservés.,جميع الحقوق محفوظة.
social.twitter,lib/content/navigation.ts,X (Twitter),X (Twitter),X (تويتر)
social.instagram,lib/content/navigation.ts,Instagram,Instagram,إنستغرام
social.tiktok,lib/content/navigation.ts,TikTok,TikTok,تيك توك
social.linkedin,lib/content/navigation.ts,LinkedIn,LinkedIn,لينكدإن
social.youtube,lib/content/navigation.ts,YouTube,YouTube,يوتيوب
social.pinterest,lib/content/navigation.ts,Pinterest,Pinterest,بينتريست
coming-soon.hero.tagline,components/sections/ComingSoonPage.tsx,Coming Soon,Arrivée Bientôt,قريباً جداً
coming-soon.hero.main,"components/sections/ComingSoonPage.tsx","ANAQIO is an AI-Driven Virtual built for Fashion Commerce.","ANAQIO est un Studio Virtuel alimenté par l'IA, conçu pour le Commerce de Mode.","ANAQIO هو استوديو افتراضي مدعوم بالذكاء الاصطناعي، مصمم لتجارة الموضة."
coming-soon.hero.sub1,components/sections/ComingSoonPage.tsx,"Generate lookbooks, swap backgrounds, adjust lighting, and produce cinematic collections.","Générez des lookbooks, modifiez les arrière-plans, ajustez l'éclairage et produisez des collections cinématographiques.","أنشئ دفاتر العرض، بدّل الخلفيات، اضبط الإضاءة، وأنتج مجموعات سينمائية."
coming-soon.hero.sub2,components/sections/ComingSoonPage.tsx,— all from a single shot.,— le tout à partir d'une seule photo.,— كل هذا من صورة واحدة.
coming-soon.form.email.placeholder,components/sections/atoms/notify.tsx,Enter your email,Entrez votre e-mail,أدخل بريدك الإلكتروني
coming-soon.form.email.aria,components/sections/atoms/notify.tsx,Email address,Adresse e-mail,عنوان البريد الإلكتروني
coming-soon.form.button.submit,components/sections/atoms/notify.tsx,Notify me,Notifiez-moi,أخبرني
coming-soon.form.button.pending,components/sections/atoms/notify.tsx,Sending...,Envoi en cours...,جاري الإرسال...
coming-soon.form.terms,components/sections/atoms/notify.tsx,"By joining, you agree to our Terms and Privacy Policy.","En rejoignant, vous acceptez nos Conditions et notre Politique de Confidentialité.","بالانضمام، أنت توافق على شروطنا وسياسة الخصوصية."
coming-soon.footer.launch,components/sections/ComingSoonPage.tsx,Launching Q3 2026 · Casablanca,Lancement Q3 2026 · Casablanca,إطلاق Q3 2026 · الدار البيضاء
coming-soon.footer.copyright,components/sections/ComingSoonPage.tsx,Anaqio © 2026,Anaqio © 2026,Anaqio © 2026
coming-soon.footer.links.about,components/sections/ComingSoonPage.tsx,About,À Propos,حول
coming-soon.footer.links.terms,components/sections/ComingSoonPage.tsx,Terms,Conditions,الشروط
coming-soon.footer.links.policy,components/sections/ComingSoonPage.tsx,Policy,Politique,السياسة
coming-soon.footer.links.legal,components/sections/ComingSoonPage.tsx,Legal,Légal,قانوني
loading.stage.initializing,lib/loading-stages.ts,Initializing,Initialisation,التهيئة
loading.stage.assets,lib/loading-stages.ts,Loading assets,Chargement des ressources,تحميل الأصول
loading.stage.rendering,lib/loading-stages.ts,Rendering,Rendu,العرض
loading.stage.studio,lib/loading-stages.ts,Preparing studio,Préparation du studio,تحضير الاستوديو
loading.stage.ready,lib/loading-stages.ts,Ready,Prêt,جاهز
loading.tagline,app/loading.tsx,Digital Atelier,Atelier Numérique,أتيليه رقمي
about.hero.label,app/about/about-content.tsx,ANAQIO · AI Visual Studio,ANAQIO · Studio Visuel IA,ANAQIO · استوديو بصري بالذكاء الاصطناعي
about.hero.title,app/about/about-content.tsx,"Fashion, Reimagined.","La Mode, Réimaginée.","الموضة، أعيد تخيّلها."
about.hero.desc,app/about/about-content.tsx,The AI-powered visual studio giving Moroccan fashion brands the infrastructure to produce studio-quality imagery — without a studio.,Le studio visuel alimenté par l'IA donnant aux marques de mode marocaines l'infrastructure pour produire des images de qualité studio — sans studio.,استوديو بصري مدعوم بالذكاء الاصطناعي يمنح علامات الموضة المغربية البنية التحتية لإنتاج صور بجودة الاستوديو — بدون استوديو.
