key,en-US,fr-FR,ar-MA
about.cta.desc,We're onboarding select fashion brands ahead of our Q3 2026 launch. Get in early.,Nous intégrons des marques de mode sélectionnées avant notre lancement Q3 2026. Rejoignez-nous tôt.,نحن ندمج علامات موضة مختارة قبيل إطلاقنا في Q3 2026. انضم مبكراً.
about.cta.overline,Early Access,Accès Anticipé,الوصول المبكر
about.cta.primary,Join the waitlist,Rejoindre la liste d'attente,انضم إلى قائمة الانتظار
about.cta.secondary,Contact us,Nous contacter,تواصل معنا
about.cta.title,Join the first wave.,Rejoignez la première vague.,انضم إلى الموجة الأولى.
about.founder.amal.bio,Amal brings a deep understanding of fashion commerce and brand identity to Anaqio. Her vision for what AI can unlock for Moroccan fashion brands is at the heart of the product.,Amal apporte une compréhension approfondie du commerce de la mode et de l'identité de marque à Anaqio. Sa vision de ce que l'IA peut déverrouiller pour les marques de mode marocaines est au cœur du produit.,تجلب أمل فهماً عميقاً لتجارة الموضة وهوية العلامة التجارية إلى Anaqio. رؤيتها لما يمكن للذكاء الاصطناعي أن يفتحه لعلامات الموضة المغربية هي في قلب المنتج.
about.founder.amal.role,Founder,Fondatrice,المؤسسة
about.founder.github,GitHub,GitHub,GitHub
about.founder.linkedin,LinkedIn,LinkedIn,لينكدإن
about.founder.mo.bio,"Mohamed is a full-stack developer and experience designer with 9+ years building intuitive digital products. He shapes the engineering and design direction from Bouskoura, Morocco.","Mohamed est un développeur full-stack et designer d'expérience avec 9+ ans de création de produits numériques intuitifs. Il façonne la direction de l'ingénierie et du design depuis Bouskoura, Maroc.",محمد مطور كامل المكدس ومصمم تجربة مستخدم بخبرة تزيد على 9 سنوات في بناء منتجات رقمية بديهية. يشكّل اتجاه الهندسة والتصميم من بوسكورة، المغرب.
about.founder.mo.role,Co-Founder & Engineer,Co-Fondateur & Ingénieur,المؤسس المشارك والمهندس
about.founder.twitter,X / Twitter,X / Twitter,X / تويتر
about.hero.back,Back to Home,Retour à l'accueil,العودة للرئيسية
about.hero.desc,The AI-powered visual studio giving Moroccan fashion brands the infrastructure to produce studio-quality imagery — without a studio.,Le studio visuel alimenté par l'IA donnant aux marques de mode marocaines l'infrastructure pour produire des images de qualité studio — sans studio.,استوديو بصري مدعوم بالذكاء الاصطناعي يمنح علامات الموضة المغربية البنية التحتية لإنتاج صور بجودة الاستوديو — بدون استوديو.
about.hero.founded,Est. 2026,Fondée 2026,مؤسسة 2026
about.hero.imageAlt,Fashion model showcasing Anaqio studio-quality imagery,Mannequin présentant les images de qualité studio Anaqio,عارضة أزياء تعرض صور بجودة استوديو Anaqio
about.hero.label,ANAQIO · AI Visual Studio,ANAQIO · Studio Visuel IA,ANAQIO · استوديو بصري بالذكاء الاصطناعي
about.hero.launch,Launching Q3 2026,Lancement Q3 2026,إطلاق Q3 2026
about.hero.location,"Casablanca, Morocco","Casablanca, Maroc",الدار البيضاء، المغرب
